seed,scenario,tick,time_s,position_arrived,status,contained_exact,contained_tol,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,lower_0,lower_1,lower_2,lower_3,lower_4,lower_5,upper_0,upper_1,upper_2,upper_3,upper_4,upper_5
70003,S1,2,0.04,0,VALID_NUMERICAL_BOX,1,1,-0.011308760744636109,2.0007653907175458,-0.012557563062421201,0.00871072799279667,0.0,0.0,-0.02271752190624821,1.9752049914315406,-0.17718968933284726,-0.17950130978687226,-0.0005736373999932719,-0.010000000002019999,0.02475264738635056,2.0191537487541837,0.17530437068245835,0.1873435098158349,0.0005831396617834248,0.002440384717374898
70003,S1,3,0.06,0,VALID_NUMERICAL_BOX,1,1,-0.011559912005884533,2.000939605277402,-0.012551457931135795,0.010665990287509327,0.0,0.0,-0.02626131569393341,1.9716149652327803,-0.21490320541416702,-0.21925086397145754,-0.0007736374010344455,-0.010000000003029998,0.028258734801027984,2.0229006189535235,0.21301600379180496,0.23101389152654672,0.0006319473571316965,0.002440384718384898
70003,S1,4,0.08,0,VALID_NUMERICAL_BOX,1,1,-0.011810941164507248,2.001152925083152,-0.012545341054678435,0.012618114074298824,0.0,0.0,-0.03055937980324927,1.9672299479503237,-0.2526263920083224,-0.2590024049139796,-0.0009736374020960191,-0.010000000004039998,0.03251905487789661,2.027520896787082,0.25076726746124034,0.2746823120873863,0.000268932802392049,0.0024403847193948977
70003,S1,5,0.1,0,VALID_NUMERICAL_BOX,1,1,-0.012061847985600817,2.001405287364638,-0.012539212476740927,0.014566316055198633,0.0,0.0,-0.03561190764445325,1.9620498998490112,-0.2902776434635601,-0.2987567249905573,-0.0011736374031779927,-0.010000000005049997,0.037534400228158946,2.0330145430318627,0.28855816013746655,0.3183479881366824,0.00031774049778112063,0.0024403847204048975
70003,S1,6,0.12,0,VALID_NUMERICAL_BOX,1,1,-0.012312632235135635,2.001696613685742,-0.012533072246893394,0.016509814181397714,0.0,0.0,-0.04141746051476776,1.9560747653461608,-0.32793856532208193,-0.3385146143897116,-0.0013736374042803664,-0.010000000006059996,0.043305563431951584,2.0393815027976356,0.3263886797968723,0.36201013741053195,0.00036654819319059223,0.0024403847214148973
70003,S1,7,0.14,0,VALID_NUMERICAL_BOX,1,1,-0.012563293680073502,2.00202680996937,-0.012526920420560098,0.018447827973805748,0.0,0.0,-0.047976231822259234,1.94930447305532,-0.365609156953254,-0.3782768618883725,-0.00157363740540314,-0.007159474903790644,0.049833337028938864,2.0466217055488927,0.36425882394684117,0.4056679790556949,0.00041535588862046384,0.002440384722424897
70003,S1,8,0.16,0,VALID_NUMERICAL_BOX,1,1,-0.012813832088484705,2.002395766528846,-0.012520757058992813,0.0203795788442525,0.0,0.0,-0.05528841496238143,1.9417389358144979,-0.4032894176128002,-0.4180442545393628,-0.0017168269044806697,-0.007159474904797803,0.05711851350893281,2.0547350651330616,0.402168589627372,0.44932073394192545,0.0004641635840706786,0.0024403847234320568
70003,S1,9,0.18,0,VALID_NUMERICAL_BOX,1,1,-0.013064247229664561,2.002803358105731,-0.012514582229241736,0.022304290417150922,0.0,0.0,-0.0633542033157026,1.9333780507206468,-0.44097934644328307,-0.4578175577147953,-0.0018600164035784859,-0.0040000116696741125,0.06516188530254541,2.063721479814964,0.4401067171711192,0.49296762497361346,0.0005129712795411798,0.0024403847244392164
70003,S1,10,0.2,1,VALID_NUMERICAL_BOX,1,1,-0.013314538874249396,2.003249443914074,-0.012508396004123944,0.024221188851446092,0.0,0.0,-0.04582435289107721,1.9719666406681644,-0.4786789424746607,-0.4975975502230352,-0.0019400166379739082,-0.004000011670678112,-0.005824352891077213,2.0119666406681644,0.47807320345078286,0.5366078774006124,0.0005617789750319041,0.0024403847254432162
70003,S1,11,0.22,0,VALID_NUMERICAL_BOX,1,1,-0.013564706794331874,2.0037338676911025,-0.012502198462189407,0.026129503162668065,0.0,0.0,-0.05539793174162582,1.962014689660681,-0.5163882046249184,-0.5373849835330365,-0.0020200168723894904,-0.004000011671682112,0.0037371111789938427,2.0226987982191997,0.5160555257955448,0.5802407191281292,0.0006105866705427885,0.002440384726447216
